gene,cluster_mean,other_mean,log2fc,pvalue,padj
DM110804,4.965676871299778,3.9533122137367043,1.012364657563074,0.00012859849196774538,0.0017680144563850606
M26316,2.2751480216192874,1.4242543953493514,0.850893626269936,0.0014658615398401079,0.019696916163328224
HM467897,-2.037927046159259,-2.6392670437991126,0.6013399976398537,9.024003844407284e-05,0.001241202667814754
DQ576862,-1.3600375213463334,-1.9287680792028263,0.568730557856493,0.005518177411246809,0.06983130209025533
JA611306,-1.0662480497890134,-1.5396579100254486,0.47340986023643516,0.023516977959469772,0.2468882737139573
MIR7703,-2.1147392361283597,-2.5622376588560316,0.44749842272767193,6.801630674466165e-05,0.0009363618678296083
SNORD46,1.0787778134889134,0.6447251191673106,0.43405269432160287,0.018617621657477282,0.20420500798082314
SNORA54,0.07313091004914468,-0.3310501082618317,0.40418101831097636,0.012697689051188973,0.14839612743845046
DQ587855,-2.546937024999075,-2.9374687889983124,0.3905317639992374,0.0018519791020032976,0.024766609611495575
RNY4,-1.498660063650536,-1.8726951917460577,0.37403512809552164,0.009608392834261898,0.11579970512670577
DL490887,-1.8770469493365485,-2.2421012704419283,0.36505432110537983,0.0008309106154509751,0.011268038728424582
DQ571333,-0.18197418127793408,-0.5286861442343266,0.3467119629563925,0.017783386147819952,0.19652137968222802
DL491652,-1.778372424902135,-2.1042560009978835,0.32588357609574836,0.026140395603394796,0.27038314688296927
SNORD75,-2.5961187575645894,-2.921233755652222,0.32511499808763267,0.0014391042055381692,0.019354227147684356
LOC389033,1.7270400020153651,1.412394761891285,0.31464524012408,0.017044134196063966,0.18977893288654918
Z24749,-1.837569233519592,-2.1380801000331373,0.3005108665135454,0.0035176237499949486,0.045484481375615456
ENHO,0.4582201001145429,0.758363663674036,-0.30014356355949307,6.289677471896503e-05,0.0008662690547527245
MIR6510,-2.7383034767205174,-2.438078718389885,-0.30022475833063256,0.028658960428586563,0.29049550529665824
DQ590712,-2.8514695999303745,-2.5474299656647323,-0.3040396342656422,0.00751502444156608,0.0925214317466841
DQ590295,-3.1346763855552195,-2.806180553692844,-0.32849583186237563,0.005540546615961451,0.07008564397608613
HTJA258,-2.513588993045047,-2.1518390704508046,-0.36174992259424243,0.015528588414721071,0.17556798570492044
Mir_324,0.5663547658509974,1.0295185340807682,-0.4631637682297708,0.02993277375994409,0.2999594357469722
HW321074,-0.39910608858298324,0.12144404758186814,-0.5205501361648514,0.014448921377953703,0.16554044481460323
DQ584698,3.1657435762143127,3.771463181821366,-0.6057196056070535,0.03029604740064208,0.29999168109160695
MIR1281,3.719421675700846,4.539496374249358,-0.8200746985485123,0.0025762404367771657,0.03396653613034055
TRNA_Pseudo,1.6570516314982455,2.507421375587123,-0.8503697440888776,0.0003459244711887065,0.00474110071191804
M37726,-0.28674881728603474,0.6601748119546672,-0.946923629240702,5.6744739198454716e-05,0.0007822359872087114
septin 9/TNRC6C fusion,-0.3859133704663547,0.8047284574114557,-1.1906418278778104,7.67638879151001e-05,0.0010563162730715847
