Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular phosphate ion homeostasis (GO:0030643),1/6,0.0134258370265617,0.0939808591859325,0,0,90.6818181818182,390.89071422300736,SLC34A2
GO_Biological_Process_2021,cellular trivalent inorganic anion homeostasis (GO:0072502),1/6,0.0134258370265617,0.0939808591859325,0,0,90.6818181818182,390.89071422300736,SLC34A2
GO_Biological_Process_2021,phosphate ion homeostasis (GO:0055062),1/10,0.0222783509374741,0.1039656377082129,0,0,50.36868686868687,191.60953052295557,SLC34A2
GO_Biological_Process_2021,phosphate ion transport (GO:0006817),1/17,0.0375837425829818,0.1315430990404364,0,0,28.322443181818183,92.93113891804632,SLC34A2
GO_Biological_Process_2021,triglyceride catabolic process (GO:0019433),1/23,0.0505160017943273,0.1414448050241166,0,0,20.59194214876033,61.47652515510766,FABP7
GO_Biological_Process_2021,acylglycerol catabolic process (GO:0046464),1/35,0.0758728255193472,0.1517456510386945,0,0,13.316176470588236,34.33838017133994,FABP7
GO_Biological_Process_2021,response to estrogen (GO:0043627),1/35,0.0758728255193472,0.1517456510386945,0,0,13.316176470588236,34.33838017133994,SLC34A2
GO_Biological_Process_2021,inorganic anion transport (GO:0015698),1/54,0.1146729436907043,0.1814871633792972,0,0,8.534305317324185,18.482498984150983,SLC34A2
GO_Biological_Process_2021,triglyceride metabolic process (GO:0006641),1/55,0.1166703193152625,0.1814871633792972,0,0,8.37584175084175,17.994684426510187,FABP7
GO_Biological_Process_2021,negative regulation of cell population proliferation (GO:0008285),1/379,0.5776365681027099,0.7452528126764066,0,0,1.1770683020683022,0.6459873056522079,FABP7
GO_Biological_Process_2021,cellular protein metabolic process (GO:0044267),1/417,0.612958336352498,0.7452528126764066,0,0,1.0674715909090908,0.5224828431590378,SLC34A2
GO_Biological_Process_2021,nervous system development (GO:0007399),1/447,0.6387881251512056,0.7452528126764066,0,0,0.9941398287810844,0.4455560262135151,FABP7
GO_Biological_Process_2021,negative regulation of cellular process (GO:0048523),1/566,0.7256382278419,0.7814565530605077,0,0,0.7799678197908286,0.2501385634354017,FABP7
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),1/764,0.8270332659468526,0.8270332659468526,0,0,0.5716668652448469,0.1085654601343577,FABP7
