variance_threshold,similarity_threshold,success,error,ari,nmi,purity,f1_macro,n_communities,optimal_k,n_features,graph_density,n_edges,n_samples,dataset
0.5,0.15,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,11937,17.48740737761781,104361,1093,tcga_brca_data
0.5,0.2,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,11937,11.443451333661764,68292,1093,tcga_brca_data
0.5,0.25,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,11937,7.150565201800334,42673,1093,tcga_brca_data
0.5,0.3,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,11937,4.235745955782552,25278,1093,tcga_brca_data
1.0,0.15,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,7649,17.84264835499968,106481,1093,tcga_brca_data
1.0,0.2,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,7649,11.855832487122514,70753,1093,tcga_brca_data
1.0,0.25,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,7649,7.583724601107949,45258,1093,tcga_brca_data
1.0,0.3,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,7649,4.60975438102611,27510,1093,tcga_brca_data
1.5,0.15,True,,0.0032858463629847003,0.02507558481687887,0.737419945105215,0.0005474952094169176,2,2,5260,17.597498567306435,105018,1093,tcga_brca_data
1.5,0.2,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,5260,11.738200804989459,70051,1093,tcga_brca_data
1.5,0.25,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,5260,7.592270492544967,45309,1093,tcga_brca_data
1.5,0.3,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,5260,4.711802378774017,28119,1093,tcga_brca_data
2.0,0.15,True,,-0.02907876912766276,0.03976131387902503,0.737419945105215,0.00042854081851296334,2,2,3704,17.580574350931165,104917,1093,tcga_brca_data
2.0,0.2,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,3704,11.778751897690597,70293,1093,tcga_brca_data
2.0,0.25,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,3704,7.703367081226184,45972,1093,tcga_brca_data
2.0,0.3,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,3704,4.87467701557363,29091,1093,tcga_brca_data
2.5,0.15,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,2732,17.790200040886226,106168,1093,tcga_brca_data
2.5,0.2,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,2732,11.971285804771624,71442,1093,tcga_brca_data
2.5,0.25,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,2732,7.8729443779764,46984,1093,tcga_brca_data
2.5,0.3,True,,0.0,0.0,0.737419945105215,0.0002809975412715139,1,1,2732,5.060843395701585,30202,1093,tcga_brca_data
