expression_sample,clinical_sample,position,match_type,hash_signature
F1,GSM2528079,0,positional,c845b1bd1202b68b32a6b7ba306ce387
F2,GSM2528080,1,positional,010c66582e349055c63e1ef8a9607d04
F3,GSM2528081,2,positional,6494dafeb9c9b3f03b6b6c0e0af6344f
F4,GSM2528082,3,positional,a3ecdc52b0bb03749072c95ab26e0173
F5,GSM2528083,4,positional,2ca88db31bac812ddb85baf71d0fc387
F6,GSM2528084,5,positional,f5988db1da00e7ab937678fc52c6772e
F7,GSM2528087,6,positional,b4b788ab127a1b5d4a0b3905b1f28291
F8,GSM2528088,7,positional,e9bafb0601d7c55aedbd540ec335bcd5
F9,GSM2528089,8,positional,eae8a816cd946368a79f49300ca89b43
F10,GSM2528090,9,positional,3a1adc039bc82a5ba2af502948e137da
F11,GSM2528091,10,positional,7a73234a986454f883e9ab8602065fd0
F12,GSM2528092,11,positional,a2114be79f3a3395673794f711b2caca
F13,GSM2528093,12,positional,9c401d37e052de94981bb8314be47e10
F14,GSM2528094,13,positional,6d5fd6a5bf32b8816160c5c8ff7c2fe4
F15,GSM2528095,14,positional,06adc9802ccbe29a2d194383a4f69798
F16,GSM2528096,15,positional,090500e5b949545ac68abdb15c0c718f
F17,GSM2528097,16,positional,a437d59c7a88567bfe70e5e664a6a9b0
F18,GSM2528098,17,positional,eec601e7e0b6341aff63200d6dd3b08a
F19,GSM2528099,18,positional,2311d5fd75cea9c88f40472472493ad6
F20,GSM2528100,19,positional,76f81a4fa5b2ded222a8d10479f2e38c
F21,GSM2528101,20,positional,7c3c9e67e1b4bbdae9dd7b0dd99427d9
F22,GSM2528102,21,positional,b543d973825b66e3db9ed72c36e25d63
F23,GSM2528103,22,positional,4d41b8c4b69bc8627deedeee82e28124
F24,GSM2528104,23,positional,94c38932c6e839337cd5b6d8f5e10108
F25,GSM2528105,24,positional,b4927495818d126b48afd04697672033
F26,GSM2528106,25,positional,27763e2c99040d00715510949c1108c8
F27,GSM2528107,26,positional,5ff9b7a2beae6a10a6ec36780fd99b74
F28,GSM2528108,27,positional,ab8f877ba22fdf9e3747873614ed8953
F29,GSM2528109,28,positional,d038c37c7652a7a65c6569e7caf0fd5d
F30,GSM2528110,29,positional,760581587b5e9c5b561dd874a1431266
F31,GSM2528111,30,positional,4695e33432d1cee4e0c5585bc3db7e56
F32,GSM2528112,31,positional,d0c22d5268753e31fda5406bdaae353d
F33,GSM2528113,32,positional,47cb4754446052e11829d2e37506bf67
F34,GSM2528114,33,positional,83364086fad17c4dbb5663134f21aa14
F35,GSM2528115,34,positional,325a470d93ae0b7af9f902443b7b0fa8
F36,GSM2528116,35,positional,4c5b85336a875e73352724b9b213fd21
F37,GSM2528117,36,positional,cc96df7a71f4637fb79e2d9649aa1b39
F38,GSM2528118,37,positional,babf280fef8435ea404110a9eb9a7b16
F39,GSM2528119,38,positional,c1863b83780f8c10c1c4e6e87c24cd5b
F40,GSM2528120,39,positional,13afb002362f21d283952454fe0bf50f
F41,GSM2528121,40,positional,461157dd8f3e3db69e500a5ed435fda6
F42,GSM2528122,41,positional,d5a37e9086488daf048dcf6fbe84a2f1
F43,GSM2528123,42,positional,58326e71f98a8602fb93c0a2fb21215e
F44,GSM2528124,43,positional,aa60ab8265a38d6ce4b6ea54ef2c7230
F45,GSM2528125,44,positional,7f1bfa1986c4368ae7ee1a4c8b440897
F46,GSM2528126,45,positional,baf8ad9466e181f82f5e956bb6f9975d
F47,GSM2528127,46,positional,c96af332439338b0350c565ddfa80c33
F48,GSM2528128,47,positional,e6da488182514f8166b6bce5cedfe38b
F49,GSM2528129,48,positional,d30533db97f9a84ce48c9118410c73b0
F50,GSM2528130,49,positional,269287c909864c9f49222a3e4be3efe3
F51,GSM2528131,50,positional,4475018ce21504c7862f3946be70fada
F52,GSM2528132,51,positional,c02145cc0c305a95dcb8976d7fe8847e
F53,GSM2528133,52,positional,129f51e94a0f15817fb0adeaf9152443
F54,GSM2528134,53,positional,7ed4290f6f645d474c1cc06d9724a6f1
F55,GSM2528135,54,positional,bc7c13a9e3a75aaa388337d74a3820be
F56,GSM2528136,55,positional,f2cb4f653ac5da89698773f43f185f13
F57,GSM2528137,56,positional,9ddec3888ae378a270d26aadbd4cac44
F58,GSM2528138,57,positional,40981fcefaf23644fbb68ad9e32ceb63
F59,GSM2528139,58,positional,ad55303972d0436658e90c7f4973de0a
F60,GSM2528140,59,positional,fad2b833598038bcb93e4d4cc3b351e6
F61,GSM2528141,60,positional,2fbaf3d9169fccaf44df516233cc7d25
F62,GSM2528142,61,positional,1670418b82b2ba2bda794174092e3cde
F63,GSM2528143,62,positional,aee7cbf9a64bd54c23d81377968b4fc5
F64,GSM2528144,63,positional,52a76896ae7c2f9ee1168ab77e093457
F65,GSM2528145,64,positional,9b78c7fe3d1062dd10e8f84c90d252b0
F66,GSM2528146,65,positional,503b96c64c33afc1db47e8954c573b0e
F67,GSM2528147,66,positional,1f5cab79498395164649a284065967f7
F68,GSM2528148,67,positional,7160493fd32a01af1e23be339dc6e2a4
F69,GSM2528149,68,positional,19cf642001a999ed08101152cf8f4061
F70,GSM2528150,69,positional,7672f1e03ade50139aa9291a6e086450
F71,GSM2528151,70,positional,7356816d25805a6fd1e4095b7a6b4b8d
F72,GSM2528152,71,positional,64cad35e5470cd95785a049704f5d324
F73,GSM2528153,72,positional,bf1aa1ca21bbb0a3160492a9e05c4de8
F74,GSM2528154,73,positional,a00afd1a93fb6698332d2a614d0fd658
F75,GSM2528155,74,positional,8207719c4004d87bba7d2bc575bc4b9d
F76,GSM2528156,75,positional,a8f023ed83b0d4163a726d040117b825
F77,GSM2528157,76,positional,c5c1f97bd33f61c372724d4dcdac92e9
F78,GSM2528158,77,positional,d74d507519380f396a82a5454b6f1138
F79,GSM2528159,78,positional,7399b1ef17507dcc07bc72a46eb97417
F80,GSM2528160,79,positional,1e40b9edceb92ca35bd37ef2a3861e98
F81,GSM2528161,80,positional,28fd1d9802ccc91335b469a93fcd9d95
F82,GSM2528162,81,positional,f247ac8fba7a891066f3ada478126f27
F83,GSM2528163,82,positional,f38040cfba823b669eba58eaeebbc60d
F84,GSM2528164,83,positional,dc1b898a8f727e517dcfd12973951d49
F85,GSM2528165,84,positional,3b9a9b62fd73db3e85de3871bb8cacb1
F86,GSM2528166,85,positional,0cdefcca566153e889b0147103379b22
F87,GSM2528167,86,positional,ddd9241724e3837bdc0d59833c31735d
F88,GSM2528168,87,positional,949e93d2b3d978e60d01459684cd24fd
F89,GSM2528169,88,positional,ad45bc742f84e898e230cd3aa3a6f78e
F90,GSM2528170,89,positional,cc978ee62e949efad349c840977f1e4a
F91,GSM2528171,90,positional,a78874a57810706c21b75d0323f5196d
F92,GSM2528172,91,positional,c7d2fa71c02ce1f1215ed754ff0eed6f
F93,GSM2528173,92,positional,3ade35991deb8bdbc83f32f254da41cf
F94,GSM2528174,93,positional,c296bb8fd3f480ec142cda5b74df2e2e
F95,GSM2528175,94,positional,d941209be4f19d35c7f31f1713466e66
F96,GSM2528176,95,positional,11fe191811dd1f934f28c347d476a970
F97,GSM2528177,96,positional,2ae5504ed8b9d3fcb152cfc71b22611b
F98,GSM2528178,97,positional,c37a294004be337f877b437e40e22303
F99,GSM2528179,98,positional,0a0e7eb52b06bda9b7535981457afe37
F100,GSM2528180,99,positional,2bcee789a1c3c5df6db64ae8a98fa431
