thresholds,features_kept,features_removed,retention_rate
5,778,6041,11.40929755096055
6,606,6213,8.886933567971843
7,485,6334,7.112479835753042
8,415,6404,6.08593635430415
9,361,6458,5.294031382900719
10,315,6504,4.619445666520018
11,276,6543,4.047514298284206
12,244,6575,3.5782372781932836
13,212,6607,3.1089602581023614
14,193,6626,2.830327027423376
15,179,6640,2.6250183311335973
16,162,6657,2.375714914210295
17,141,6678,2.067751869775627
18,124,6695,1.8184484528523244
19,115,6704,1.6864642909517522
20,103,6716,1.5104854084176567
